WKT,unnamed (1),id,lat,lon
"LINESTRING (106.64387322411193 10.758359697544947, 106.64320803627623 10.754628423427993)",188.0,edge-81,,
"LINESTRING (106.64934493050231 10.758064570200045, 106.64320803627623 10.754628423427993)",189.0,edge-82,,
"LINESTRING (106.65085769638671 10.75883400874412, 106.65074504360808 10.753505870064101)",190.0,edge-83,,
"LINESTRING (106.64320803627623 10.754628423427993, 106.65074504360808 10.753505870064101)",191.0,edge-84,,
"LINESTRING (106.64320803627623 10.754628423427993, 106.63755381325294 10.754694362942741)",192.0,edge-85,,
"LINESTRING (106.64402924678096 10.758988426937417, 106.6383644213415 10.758743366369833)",193.0,edge-86,,
"LINESTRING (106.6383644213415 10.758743366369833, 106.63532547852763 10.757792107871046)",194.0,edge-87,,
"LINESTRING (106.63532547852763 10.757792107871046, 106.63755381325294 10.754694362942741)",195.0,edge-88,,
"LINESTRING (106.64231055743352 10.766600885589519, 106.6383644213415 10.758743366369833)",196.0,edge-89,,
"LINESTRING (106.64220326907292 10.76284863326909, 106.64488173470153 10.764304343975665)",197.0,edge-90,,
"LINESTRING (106.64220326907292 10.76284863326909, 106.64231055743352 10.766600885589519)",198.0,edge-91,,
"LINESTRING (106.64231055743352 10.766600885589519, 106.63758986956731 10.769009258877322)",199.0,edge-92,,
"LINESTRING (106.63758986956731 10.769009258877322, 106.6355889416422 10.769552062451986)",200.0,edge-93,,
"LINESTRING (106.64231055743352 10.766600885589519, 106.64806505311532 10.77480180282791)",201.0,edge-94,,
"LINESTRING (106.65244245843351 10.768850121983306, 106.64806505311532 10.77480180282791)",202.0,edge-95,,
"LINESTRING (106.64806505311532 10.77480180282791, 106.6498073410626 10.777333154993244)",203.0,edge-96,,
"LINESTRING (106.65621146766753 10.777950802726458, 106.65386338465963 10.785644537020723)",204.0,edge-97,,
"LINESTRING (106.65386338465963 10.785644537020723, 106.65104438298498 10.78489624563032)",205.0,edge-98,,
"LINESTRING (106.65104438298498 10.78489624563032, 106.6498073410626 10.777333154993244)",206.0,edge-99,,
"LINESTRING (106.65104438298498 10.78489624563032, 106.65386338465963 10.785644537020723)",207.0,edge-100,,
"LINESTRING (106.65104438298498 10.78489624563032, 106.65237207644735 10.790099994039936)",208.0,edge-101,,
"LINESTRING (106.65386338465963 10.785644537020723, 106.65237207644735 10.790099994039936)",209.0,edge-102,,
"LINESTRING (106.65876493064971 10.780764855228593, 106.66461197362439 10.786811762479628)",210.0,edge-103,,
"LINESTRING (106.66461197362439 10.786811762479628, 106.66065839753644 10.788955280873008)",211.0,edge-104,,
"LINESTRING (106.65337888227002 10.792775711601207, 106.65237207644735 10.790099994039936)",213.0,edge-106,,
"LINESTRING (106.66461197362439 10.786811762479628, 106.6703267816908 10.783809636243184)",214.0,edge-107,,
"LINESTRING (106.6703267816908 10.783809636243184, 106.6720935 10.7829234)",215.0,edge-108,,
"LINESTRING (106.6720935 10.7829234, 106.67863090080091 10.779383069732242)",216.0,edge-109,,
"LINESTRING (106.6720935 10.7829234, 106.66560992805572 10.777877025715135)",217.0,edge-110,,
"LINESTRING (106.67863090080091 10.779383069732242, 106.68163942572494 10.777838880769755)",218.0,edge-111,,
"LINESTRING (106.67863090080091 10.779383069732242, 106.68039042991468 10.783936108615071)",219.0,edge-112,,
"LINESTRING (106.68039042991468 10.783936108615071, 106.68364126724073 10.78250275195348)",220.0,edge-113,,
"LINESTRING (106.68364126724073 10.78250275195348, 106.68163942572494 10.777838880769755)",221.0,edge-114,,
"LINESTRING (106.68546516937086 10.78126963818445, 106.68163942572494 10.777838880769755)",222.0,edge-115,,
"LINESTRING (106.68546516937086 10.78126963818445, 106.68723542732069 10.780089216850765)",223.0,edge-116,,
"LINESTRING (106.68723542732069 10.780089216850765, 106.6837768874348 10.77672525861494)",224.0,edge-117,,
"LINESTRING (106.68039042991468 10.783936108615071, 106.6816534108424 10.785752341262972)",225.0,edge-118,,
"LINESTRING (106.6816534108424 10.785752341262972, 106.68446436589001 10.784361150647603)",226.0,edge-119,,
"LINESTRING (106.68364126724073 10.78250275195348, 106.68446436589001 10.784361150647603)",227.0,edge-120,,
"LINESTRING (106.68446436589001 10.784361150647603, 106.68683543865917 10.782738086797568)",228.0,edge-121,,
"LINESTRING (106.68683543865917 10.782738086797568, 106.68546516937086 10.78126963818445)",229.0,edge-122,,
"LINESTRING (106.68683543865917 10.782738086797568, 106.68913140957592 10.785046207436585)",230.0,edge-123,,
"LINESTRING (106.68913140957592 10.785046207436585, 106.68527655137667 10.788376615131993)",231.0,edge-124,,
"LINESTRING (106.68446436589001 10.784361150647603, 106.68527655137667 10.788376615131993)",232.0,edge-125,,
"LINESTRING (106.68527655137667 10.788376615131993, 106.68211277045963 10.791341127683443)",233.0,edge-126,,
"LINESTRING (106.68211277045963 10.791341127683443, 106.68000304692563 10.792839809929237)",234.0,edge-127,,
"LINESTRING (106.68000304692563 10.792839809929237, 106.6779967545825 10.792154770896644)",235.0,edge-128,,
"LINESTRING (106.6779967545825 10.792154770896644, 106.67831861966428 10.787612395663967)",236.0,edge-129,,
"LINESTRING (106.67831861966428 10.787612395663967, 106.6816534108424 10.785752341262972)",237.0,edge-130,,
"LINESTRING (106.67831861966428 10.787612395663967, 106.67849028104123 10.783839326480305)",238.0,edge-131,,
"LINESTRING (106.67849028104123 10.783839326480305, 106.68039042991468 10.783936108615071)",239.0,edge-132,,
"LINESTRING (106.6779967545825 10.792154770896644, 106.6721809906257 10.791891922408247)",240.0,edge-133,,
"LINESTRING (106.6721809906257 10.791891922408247, 106.67151580279001 10.79182341835922)",241.0,edge-134,,
"LINESTRING (106.68000304692563 10.792839809929237, 106.67784766703926 10.79415602224354)",242.0,edge-135,,
"LINESTRING (106.67784766703926 10.79415602224354, 106.6779967545825 10.792154770896644)",243.0,edge-136,,
"LINESTRING (106.67151580279001 10.79182341835922, 106.66810961842677 10.792494208714377)",244.0,edge-137,,
"LINESTRING (106.66810961842677 10.792494208714377, 106.66662903905055 10.790723641058886)",245.0,edge-138,,
"LINESTRING (106.67151580279001 10.79182341835922, 106.66905246423468 10.793730642599071)",246.0,edge-139,,
"LINESTRING (106.66810961842677 10.792494208714377, 106.66905246423468 10.793730642599071)",247.0,edge-140,,
"LINESTRING (106.66905246423468 10.793730642599071, 106.66454377135624 10.797067327053494)",248.0,edge-141,,
"LINESTRING (106.66454377135624 10.797067327053494, 106.66067066153873 10.79995497225825)",249.0,edge-142,,
"LINESTRING (106.66067066153873 10.79995497225825, 106.65337888227002 10.792775711601207)",250.0,edge-143,,
"LINESTRING (106.66067066153873 10.79995497225825, 106.66194591783137 10.800735088771935)",251.0,edge-144,,
